,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
Barack Obama,0.16721894,-0.16160588,0.07969446,-0.09191667,0.08417809,-0.16036019,-0.092796855,-0.15347964,-0.15360384,0.03281292,-0.12843591,0.010064194,-0.13353084,0.22355442,-0.19811526,-0.055975467,0.062237404,-0.19313093,0.15431084,-0.033781648,-0.017810196,-0.032330643,0.117237106,0.1660803,0.15568799,0.202034,-0.15575391,-0.1376683,0.14968456,-0.09610503,0.07957939,-0.078249484,-0.2281641,0.2137448,0.20968641,0.18333028,-0.034984473,0.09374411,-0.012303187,0.06666316,-0.12168037,-0.05355606,0.13926876,-0.003897553,-0.20359772,0.22309367,0.1218912,0.22873268,0.030277269,0.1860703,0.15269986,-0.09197401,-0.16090271,0.06909148,-0.090068646,0.09298151,-0.12207967,-0.080200754,-0.18818456,-0.038685694,-0.13660197,-0.030259596,-0.20292242,0.14595297
Bill Clinton,0.27039206,-0.16471563,0.17960471,-0.20858543,0.2392299,-0.057878252,0.019788325,0.09997121,-0.040246285,0.085067675,-0.011841122,-0.193562,-0.17667176,-0.23599677,-0.08827686,0.10525641,0.29684255,-0.15422848,0.101883434,-0.03685051,-0.029535117,-0.09222619,-0.078731745,0.13633397,0.16443285,0.08995091,0.06321803,-0.07711892,-0.11005473,-0.00047867285,-0.017364323,0.31322092,-0.24120279,-0.24768795,0.12498456,-0.14275497,0.14747736,-0.16606262,0.15981363,0.033075567,-0.21003339,-0.087942064,0.054600544,-0.074044004,0.01403717,-0.0120329065,-0.12819175,-0.046069257,-0.16488831,-0.052489776,-0.039838623,-0.0044968333,-0.20065895,-0.24613999,-0.08085354,-0.12173703,-0.16791674,-0.07461131,-0.058143787,0.03382855,0.06674808,0.25067058,0.27940443,-0.003426711
Franklin D. Roosevelt,-0.044105664,0.1769763,-0.1238098,0.21505713,0.024816478,0.11811618,0.1798489,0.12595281,0.15359364,-0.09577898,-0.20726544,0.020514851,0.062146075,-0.15920527,0.18016389,-0.05364176,-0.18700215,0.15009941,-0.16270332,0.057723742,-0.16052918,-0.11223982,-0.1254224,-0.20020676,-0.083722204,-0.10051599,0.054415733,0.07816994,0.1319197,0.20827506,-0.20049423,-0.05698839,-0.14292793,0.032435704,0.12387671,-0.052199073,0.023654241,-0.20697793,0.05242539,-0.15354314,0.205522,0.016018128,-0.08034572,0.20199554,0.095779374,0.06765421,-0.03244364,0.023796406,0.008590431,-0.1850971,-0.16969971,0.22681116,0.13869151,0.1559189,0.1729325,0.12408926,-0.18081641,0.13301556,0.07563642,-0.10671068,0.079912424,-0.093136944,-0.07012445,0.030323308
George H. W. Bush,-0.16096607,0.23136887,-0.08682153,-0.22364652,-0.10264546,-0.14326435,-0.20811562,-0.11829183,-0.07100985,0.1569189,-0.028755356,0.06203833,0.12520994,0.18212618,0.021822285,-0.08878624,-0.0138871875,-0.018778874,0.058591075,0.15600753,-0.03612782,0.12992676,0.04630506,0.16156647,0.1333958,-0.13508417,0.09874276,-0.22659174,0.043310292,-0.0061872615,-0.10845875,-0.1710748,-0.16473219,-0.140363,0.06912033,-0.16116631,-0.12665766,0.13534729,-0.13573709,-0.05392426,-0.051949732,-0.014783532,0.08548747,-0.2486903,0.17819227,-0.14511895,-0.17975102,-0.12228001,-0.12079339,-0.11774915,0.033827793,-0.18670315,0.114386484,-0.19847456,-0.11977519,0.10986035,-0.051525842,0.05810333,0.1234253,0.12943135,0.10290715,0.042597216,-0.07960253,-0.16601998
George W. Bush,-0.1541602,0.02302771,0.09931244,0.072921716,-0.094711736,0.011522886,0.09808441,0.018424705,-0.11439867,0.18255799,-0.090992816,0.14091796,-0.18007568,-0.041249067,-0.1504359,-0.17041102,-0.18104577,-0.14249653,-0.1353992,-0.120324895,-0.05186485,-0.104101844,0.21060917,0.0471897,0.11164491,0.17503045,0.080491364,0.105696455,0.19547172,-0.16081746,-0.19856717,-0.23808716,0.33319068,0.17519619,-0.24423607,-0.010522341,0.018178027,-0.09287426,-0.012894518,-0.10212588,-0.109935865,0.23266883,-0.18198039,-0.11906574,-0.12824923,-0.10472655,0.13192876,-0.09882568,0.2074566,-0.099989854,0.025761673,0.016554588,-0.08090951,0.04973843,-0.1778634,0.14512566,-0.045185383,-0.1657335,-0.010386363,0.21305376,-0.13176855,-0.13136005,0.19662644,-0.026402801
Jimmy Carter,0.19429816,0.06563386,-0.12706442,0.13987869,-0.13597879,0.20684828,0.026024928,0.2024957,0.1738476,0.020526195,0.033751044,-0.20151038,-0.060252517,-0.161494,0.102160275,0.03396654,0.132274,-0.20328972,0.10114614,-0.14835514,-0.05034184,-0.1348475,0.20245491,-0.13093354,-0.052937765,-0.20978177,-0.010799114,-0.07568129,-0.16208294,0.14373194,0.14380428,0.22866833,-0.08481602,0.22235876,-0.22371046,-0.22944881,0.045641158,-0.071773216,-0.18019399,-0.18548925,0.05146379,-0.11654542,0.16446482,0.16889738,-0.15835573,-0.09867416,-0.18377966,-0.11176557,-0.22196892,-0.19989082,0.18698756,0.13811733,-0.10719227,-0.19451205,0.07906882,-0.15477668,0.15186736,-0.22375037,-0.14539632,-0.18318813,-0.15680222,0.057786282,-0.17315759,0.21334618
John F. Kennedy,-0.06059825,0.0149683235,-0.13729478,-0.17245011,0.123122096,0.1536901,0.20386352,-0.15088995,0.1372001,0.0469582,-0.10914683,0.02999716,-0.07180144,0.011766225,0.060985215,0.054382484,0.1801224,0.20419766,-0.13252196,0.19322586,0.09994904,-0.075980954,-0.17850982,-0.08098859,0.21401691,-0.10928962,0.20347731,0.059607074,-0.07390867,0.2123938,-0.1265951,0.10862189,-0.16312253,-0.21817246,0.2243253,0.01751841,0.25460464,0.008306417,0.19682272,-0.051159013,0.111166954,0.10204753,-0.10765752,0.14102271,-0.06505454,-0.122605294,-0.20803063,-0.16258289,-0.12164857,0.08048038,-0.04797297,0.18801288,0.19368143,0.06517603,-0.17308435,0.033256132,-0.124943964,-0.03202067,-0.21536566,-0.0925137,0.031844854,-0.19206026,-0.18081261,-0.21130873
Lyndon B. Johnson,-0.030758396,0.11474441,-0.041507762,0.123114504,0.1182863,-0.05201021,-0.13672751,-0.117652036,-0.122585714,-0.1271416,0.071678944,0.135034,0.19902878,-0.068675,-0.028698495,-0.18406405,-0.19821998,0.04439535,0.2013284,0.008392273,-0.1883793,0.16267268,-0.16700538,-0.06449939,-0.22306944,-0.1750223,-0.0052290247,-0.17950962,-0.07438802,-0.21011625,0.10024102,-0.07839913,0.14614667,-0.10664504,-0.0015235425,0.06884755,-0.025365314,0.07671294,-0.13531859,0.06826622,0.06598001,0.26907837,-0.193792,0.11090534,-0.1871,0.09715956,0.067616805,-0.08353483,0.21956365,0.13990869,0.25828075,-0.09362809,0.154029,-0.19938704,0.22438997,0.13895717,0.22021988,-0.066695474,0.13410653,0.02649542,-0.117133625,0.0847421,-0.020664362,0.20557679
Richard M. Nixon,-0.09991391,-0.13577297,-0.15408252,0.13598356,-0.16160315,0.0954899,-0.06821143,0.07199887,0.10202257,-0.14751543,0.17888199,-0.020772645,-0.0019209089,-0.13853967,-0.023440553,0.20199923,-0.10850032,-0.20822021,0.1584252,0.006832097,0.22120498,0.15062243,0.24295186,-0.1385003,-0.10184538,0.17444141,-0.17277387,0.029125012,-0.10689528,-0.017663518,-0.0057076095,-0.1662168,0.14053433,0.18362801,0.17581466,0.2999453,-0.12778196,0.07645048,-0.04212747,0.1196685,0.09403698,0.0597397,0.16218463,0.16150948,-0.11002355,0.0022640014,0.018761327,-0.17133635,0.21455908,0.09979042,-0.043993395,0.1625626,-0.11068827,-0.09447571,0.217666,-0.15451728,0.13307266,0.12437197,0.1252342,-0.12667193,-0.026674172,-0.21794742,-0.036974736,0.09816682
Ronald Reagan,-0.20099227,-0.050699256,0.1321198,-0.24247506,-0.16690099,0.026142078,-0.0013672863,-0.15237063,-0.15948421,-0.083852455,0.14538983,-0.06762385,-0.175301,0.14503326,-0.18406273,0.043948293,-0.14536572,0.013707184,0.08301725,-0.17914176,0.17796327,-0.026643513,0.045783203,0.07737713,-0.05707424,0.25401756,0.24062335,0.23686227,-0.14765757,-0.006351421,-0.24110281,-0.18936232,0.037388816,-0.121148564,0.051371086,0.020428836,-0.10649377,0.085436694,-0.08574329,-0.20515367,0.1166103,-0.12055377,-0.084349394,-0.07984904,0.17627852,-0.1575048,-0.16999939,0.08778976,-0.015528862,0.09067576,-0.2472179,-0.12796462,0.07646813,-0.057793316,0.029409533,-0.16116868,0.11529807,0.18086669,0.17837732,0.14019571,0.16758814,0.115125135,-0.0070524765,-0.15601516
