Name,Convention Flexibility,Convention Self-Variation,Convention uniqueness,Inaugural Flexibility,Inaugural Self-Variation,Inaugural uniqueness,Money Flexibility,Money Self-Variation,Money uniqueness,Policy Flexibility,Policy Self-Variation,Policy uniqueness,SOTU Flexibility,SOTU Self-Variation,SOTU uniqueness,University Flexibility,University Self-Variation,University uniqueness,War Flexibility,War Self-Variation,War uniqueness,Commemoration Flexibility,Commemoration Self-Variation,Commemoration uniqueness,FP Flexibility,FP Self-Variation,FP uniqueness,Voice uniqueness,Appearance uniqueness
George W. Bush,41.96306783053592,0.0,156.3166607976068,91.16340300202486,26.52234056031428,280.0730956416654,63.33952192847886,52.03433684603114,733.8664157957196,93.29477492569254,56.1262321271958,584.8902474470954,119.22579820529234,46.89639736681431,599.6598560687063,74.74131328804674,0.0,148.62262521816956,124.68943469400948,55.18290086481879,1797.732470278213,0.0,0.0,0.0,0.0,0.0,0.0,2.6653120668191783,62.24535245759747
Barack Obama,71.38826734977553,20.88130843548449,179.07375178331856,166.84206425910733,74.65559411102272,126.6665007269904,71.53957589417146,52.7993122363791,725.9377206466007,76.5737235991329,50.82906409177711,446.69855075224143,100.01384396208653,42.28094153481722,655.4826732363905,75.14748909758012,48.262646391515766,676.3372740539871,93.73969139396536,50.07375986189578,882.9659729689918,90.62942050729632,32.584004139013366,225.83113611968724,76.62979628820409,48.3937890752157,625.6680531923967,2.634852067016677,86.52932752541645
Franklin D. Roosevelt,37.97876464470771,26.33589979274615,1064.9286216566354,46.31180420046863,19.095730104437813,993.6686242391526,80.56392719288698,38.35360070391643,2876.5313942183766,23.8752829099235,0.0,386.7566035781738,35.177638605912776,30.58141613048837,885.3334366091744,0.0,0.0,0.0,73.14249795027717,60.99814001938661,2882.4032140182226,56.07671543115703,0.0,236.75147282502252,39.53867502968524,0.0,360.1225753134495,2.5797975347164104,74.01361211525553
Bill Clinton,49.909985738421256,0.0,114.76750800250876,117.6878593818266,30.878925136789963,258.9670239263861,73.5347074412548,0.0,229.03816636294772,142.92579789060392,130.8430406651874,192.8085959172224,93.4972874256843,47.17365570604967,593.6154032255392,62.047831643550126,0.0,207.22410191428253,73.4417989100325,0.0,298.76815716574856,108.1696845734107,47.75397889792603,307.99453496002184,95.1767559514999,71.07747165047266,840.151625023859,2.8050691586952743,69.28561636428223
George H. W. Bush,76.81675207815958,29.545347310038814,165.19755508318843,60.66714577344351,0.0,179.46353454828932,77.43991294106036,0.0,180.11088683895468,70.63536428765428,0.0,122.98920124199869,94.89533776013836,53.11202682819626,149.69546523110515,132.144347529689,31.34437112102689,418.5062791086998,163.6659250160053,29.67289043824473,407.8659493559783,0.0,0.0,0.0,141.3226328638687,77.25199964798749,249.9781948329575,2.443583983167169,47.2474390540405
Richard M. Nixon,0.0,0.0,0.0,146.5332392880672,32.1686906811837,213.700816880808,0.0,0.0,0.0,0.0,0.0,0.0,181.0477621864881,64.27767753297084,637.5748823118407,0.0,0.0,0.0,238.8428439982428,56.87743471584529,626.3379480776334,0.0,0.0,0.0,64.09484493542254,0.0,194.18656802541227,2.596284910020382,47.460769034379624
John F. Kennedy,57.125282581274405,0.0,245.1355433860704,79.15743423731146,0.0,130.1228628095946,118.11822557223552,63.39533503328644,241.4703769020432,61.36528975470651,51.43490370071004,700.0631113417007,60.35484821014586,22.593230860431543,817.4153781595058,94.34266200880802,68.17696176508979,1390.7311042785375,0.0,0.0,0.0,70.14315489679572,32.58213997240501,688.9693528464768,116.18724185916903,74.8774364591136,1376.8537600849204,2.6400595735260244,58.329489033081046
Lyndon B. Johnson,66.68379508039925,0.0,187.8746777802562,104.92309581067092,0.0,141.7336877402754,0.0,0.0,0.0,211.01061856427617,68.94069160467049,713.6602351837289,69.16812308959817,47.30376401114543,982.8316348235742,95.62122948508724,58.822782778042274,392.2603215964052,294.83607391651043,53.91548787415917,615.9402199044166,64.79355387416172,0.0,225.8980801779205,77.50424898942276,57.88925244985965,1031.2080302782615,2.699089406520363,83.60634801810649
Jimmy Carter,179.64757734380987,0.0,120.24335250427612,147.86472077220196,0.0,122.88834157820428,100.88349785308378,0.0,164.12884549587034,140.07680922847513,40.202947115994704,344.9003213822522,100.79823972956817,63.57153353301761,131.9335840717474,141.01047383723426,0.0,141.07305341169285,0.0,0.0,0.0,0.0,0.0,0.0,261.47080356434583,78.43773234504935,418.72764918135806,2.866422848206191,49.60499629106959
Ronald Reagan,112.71655837725513,62.79143921821821,348.7801666248352,87.30233699119452,38.13820924581651,257.0293653595656,87.71268400552071,55.8400394357152,602.9029797135363,96.3903516300361,0.0,113.0833857753596,153.9195284203933,66.46290824752195,327.36649037414776,59.5738349548119,0.0,189.2136399522219,84.30391616961481,86.2666638161098,609.9973770978728,179.29596798791113,65.72718265147677,261.7054210010733,196.4704412918481,78.35289392746566,951.998924718098,2.607100762653108,78.92057079671218
