Name,Barack Obama,Bill Clinton,Franklin D. Roosevelt,George H. W. Bush,George W. Bush,Jimmy Carter,John F. Kennedy,Lyndon B. Johnson,Richard M. Nixon,Ronald Reagan
Barack Obama,1.0,0.13867831471886655,0.0,0.1252291236943639,0.1275782766643905,0.034061094706921764,0.042307878059066224,0.09973392804772924,0.13388256003257865,0.056680276417582456
Bill Clinton,0.16060814008583377,1.0,0.03669062689702746,0.13114228424662538,0.03657113648443598,0.14089642673288547,0.1614436924203613,0.0,0.008295487077940297,0.09826488465438397
Franklin D. Roosevelt,0.0,0.011523351235489534,1.0,0.08957838790198906,0.09354421209607344,0.10828109238298317,0.282142734265641,0.0989600356041928,0.11487230529177615,0.0694378466411154
George H. W. Bush,0.10325661185377855,0.08604848326119775,0.06671040018818791,1.0,0.0909120032197777,0.0,0.13039831274123279,0.12445394963231175,0.009657091643631462,0.23468643129991687
George W. Bush,0.12436997683947022,0.007765200451323164,0.09021075321048878,0.10992576634707248,1.0,0.0,0.019694247232299816,0.10656123020498136,0.09404474612000639,0.13551632897881447
Jimmy Carter,0.06740804339770974,0.14888516482125957,0.13906575639844473,0.05817949981057396,0.03806033309170582,1.0,0.07893108338679487,0.07486551020321243,0.1530689041885651,0.0
John F. Kennedy,0.03879740945058068,0.13638162141502097,0.2795113923771576,0.1485963182432843,0.019705883931801782,0.04249921822678049,1.0,0.0,0.018318440473370147,0.08645727041929281
Lyndon B. Johnson,0.12265530350952883,0.0,0.12190111488447228,0.16765284872680408,0.13249898209992056,0.06618200848284109,0.029019844443797075,1.0,0.19706460428357167,0.06691200857621372
Richard M. Nixon,0.14887398364648904,0.0,0.13019277294599413,0.05064463131877813,0.11298766937439435,0.1379684640673063,0.03883334102490209,0.1903481478060665,1.0,0.16074224649523516
Ronald Reagan,0.08924634684805835,0.10665005017545226,0.10156348958975775,0.279211991925133,0.16841886545022142,0.0,0.12121657941991829,0.07558872208183202,0.17544375209547852,1.0
